INCLUDE,GROUP,ATOM,PHYSICS,CLOCK,RACH_REFERENCE,TYPE,CATEGORY,COST,FULL_SWAP,VOLUME,WEIGHT,POWER,SWAP,TAU_1s,TAU_1e3s,TAU_1e4s,PERSONEL,REF_NUM,DOI_HYP
1,CSAC,Rubidium,Vapour cell,CSAC SA.45,24,COMMERCIAL,MICROWAVE,,1,15.75,0.035,0.12,0.1,3.00E-10,1.00E-11,,,1,https://www.microsemi.com/product-directory/embedded-clocks-frequency-references/5207-space-csac
1,SRS Rb,Rubidium,Vapour cell,PRS10,34,COMMERCIAL,MICROWAVE,,1,375,0.6,14.4,3240,2.00E-11,,,,2,https://www.thinksrs.com/products/prs10.html
1,Cs 5071A,Caesium,Beam,5071A,35,COMMERCIAL,MICROWAVE,,1,30000,30,50,45000000,5.00E-12,2.70E-13,8.50E-14,,3,https://www.microchip.com/en-us/products/clock-and-timing/components/atomic-clocks/atomic-system-clocks/cesium-time/5071a
1,MHM Maser,Hydrogen,Maser,MHM 2020 Maser,36,COMMERCIAL,MICROWAVE,,,374072,246,75,6901628400,1.50E-13,2.00E-15,1.50E-15,,4,https://www.microchip.com/en-us/products/clock-and-timing/components/atomic-clocks/atomic-system-clocks/mhm-2020-hydrogen-masers
1,NPL Fountain,Caesium,Fountain,NPL Cs Fountain,,COMMERCIAL,MICROWAVE,,1,3291750,520,1500,2.50E+12,1.00E-13,,,,5,https://www.npl.co.uk/instruments/caesium-fountain
1,Muquans,Rubidium,Cold atoms,MuClock,37,COMMERCIAL,MICROWAVE,,1,682000,135,200,1.84E+10,3.00E-13,9.50E-15,3.00E-15,,6,https://www.muquans.com/product/muclock/
1,SpectraDynamics,Rubidium,,cRb,38,COMMERCIAL,MICROWAVE,,1,40442,31,80,1.00E+08,7.00E-13,2.00E-14,7.00E-15,,7,https://spectradynamics.com/products/crb-clock/
1,DSAC,Mercury,Ion,DSAC,39,RESEARCH,MICROWAVE,,1,17342,17.5,44,13353340,1.50E-13,5.00E-14,2.00E-14,,8,https://doi.org/10.1109/TUFFC.2016.2543738
0,PHARAO (physics package ONLY),,,PHARAO,40,RESEARCH,MICROWAVE,,,,,,79200000,,,,,9,
1,VectorAtomic,Iodine,,VA EG-30,26,COMMERCIAL,OPTICAL,,1,2.90E+04,20,80,46400000,2.50E-14,1.20E-15,3.00E-15,,10,https://vectoratomic.com
1,CAS,Calcium,Ion,CAS Ca ion ,31,RESEARCH,OPTICAL,,,,,,1.00E+14,1.00E-14,2.00E-16,5.00E-17,,11,https://doi.org/10.1103/PhysRevA.102.050802
1,LENS ,Strontium,Lattice,LENS Sr lattice,14,RESEARCH,OPTICAL,,1,2.00E+06,400,2000,1.60E+12,4.00E-15,,,,12,https://doi.org/10.1007/s00340-014-5932-9
1,PTB,Strontium,Lattice,PTB Sr Lattice,22,RESEARCH,OPTICAL,,1,1.50E+07,2000,2000,6.00E+13,1.30E-15,3.00E-17,1.30E-17,,13,https://doi.org/10.1103/PhysRevLett.118.073601
1,SKOLTECH,Ytterbium,Ion,SKOLTECH Yb ion,,RESEARCH,OPTICAL,,1,9.21E+05,298,2700,7.40E+11,8.90E-15,9.40E-16,4.90E-16,,19,https://doi.org/10.3390/sym14102213
1,RIKEN,Strontium,Lattice,RIKEN Sr Lattice,41,RESEARCH,OPTICAL,,0,,,,2.00E+11,1.00E-15,,,,14,https://doi.org/10.1038/s41566-020-0619-8
1,Infleqtion,Rubidium,Vapour cell,Tiqker,,COMMERCIAL,OPTICAL,,1,30000,30,70,6.30E+07,1.00E-13,1.00E-14,5.00E-15,,15,https://www.infleqtion.com/tiqker
1,Opticlock,Ytterbium,Trapped Ion,Opticlock,21,COMMERCIAL,OPTICAL,,0,,,,1.34E+12,2.00E-15,2.00E-16,6.00E-17,,16,https://www.opticlock.de/en/info
0,PTB,,,ion,9,RESEARCH,,,,,,,,,,,,,
0,NIST (TARGET instability),,,Yb lattice,11,RESEARCH,,,,,,,,6.70E-17,,,,,
0,Jila,,,Sr lattice,12,RESEARCH,,,,,,,,,,,,,
0,NPL ,,, ,13,RESEARCH,,,,,,,,,,,,,
0,QuantX,,Resonator,CryoClock,,COMMERCIAL,MICROWAVE,,1,3.60E+06,110,7000,2.70E+12,4.00E-16,7.00E-15,1.00E-14,,,https://quantxlabs.com/wp-content/uploads/2023/11/Cryoclock-Spec-Sheet.pdf
1,IPAS Yb,Ytterbium,Vapour cell,IPAS YB vapour cell,,RESEARCH,OPTICAL,,1,6.70E+04,40,210,562800000,1.00E-14,6.00E-15,5.00E-15,,17,https://doi.org/10.48550/arXiv.2406.03716
1,IPAS Rb,Rubidium,Vapour cell,IPAS Rb vapour cell,,RESEARCH,OPTICAL,,1,8.10E+04,45,340,1239300000,1.30E-13,4.90E-15,3.00E-15,,17,https://doi.org/10.48550/arXiv.2406.03716
1,Vescent,Acetylene,Vapour cell,DFM/Vescent,,RESEARCH,OPTICAL,,1,4.23E+04,19.5,150,123727500,2.60E-13,9.00E-15,,,18,https://vescent.com/media/wysiwyg/Products/FFC-Stabilaser_White_Paper.pdf
1,AFRL,Rubidium,Vapour cell,AFRL Rb vapour cell,,RESEARCH,OPTICAL,,1,5829120,310,1300,2.34E+12,3.00E-13,4.00E-14,4.00E-14,,17,https://doi.org/10.48550/arXiv.2406.03716